product_name,main_category_fr,additives_n,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
S.Pellegrino,Eaux,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0
Almond Nut-Thins: Cheddar Cheese,Snacks salés,6.0,d,1810.0,13.3,1.67,0.0,3.33,10.0,2.12,11.0
Almond Milk Unsweetened ,Laits,5.0,b,52.5,1.04,0.0,0.0,0.417,0.417,0.191,0.0
Almond Breeze,Boissons,4.0,b,69.6,1.46,0.125,0.0,0.417,0.417,0.191,0.0
"Light Mozzarella, Sun-Dried Tomato & Basil flavor",Fromages,2.0,d,695.0,7.14,4.76,4.76,0.0,9.52,2.3,12.0
Queso fresco & chipotle flavor,Produits à tartiner,1.0,e,695.0,7.14,7.14,4.76,0.0,9.52,2.42,20.0
TruMoo Chocolate Milk,Laits,1.0,a,244.0,1.04,0.625,7.5,0.0,3.33,0.191,-1.0
Chocolate Milk,Laits,1.0,b,263.0,1.09,0.725,7.73,0.0,4.59,0.233,0.0
Turkey Bacon,Turkey-bacon,5.0,d,840.0,16.7,3.33,0.0,0.0,13.3,2.2,14.0
Cheese Pizza,Surgelés,0.0,c,986.0,9.76,4.07,3.25,1.63,9.76,1.22,9.0
Chunky veg soup,Soupes,0.0,b,100.0,0.0,0.0,2.04,1.2,1.22,0.70612,2.0
Soupe rustique aux légumes à l'italienne,Soupes,0.0,a,264.0,2.9,0.4,1.6,1.6,2.0,0.762,-5.0
Velouté de champignons,Soupes,0.0,c,197.0,2.5,1.5,0.5,0.5,1.0,0.762,4.0
"Lasagnes aux légumes, pâtes de riz sans gluten",Surgelés,0.0,b,541.0,5.5,2.7,2.4,1.6,5.5,0.762,1.0
Pizza au fromage pâte à base de riz,Surgelés,1.0,c,1281.0,15.0,4.2,4.2,2.2,9.4,1.27,9.0
"4 Steaks aux légumes, au quinoa et aux noix",Surgelés,0.0,c,510.0,4.2,0.0,2.8,1.8,3.8,1.524,3.0
Spaghettis Italiano avec boulettes végétales ,Surgelés,0.0,a,450.0,1.9,0.2,2.7,1.9,4.7,0.2,-3.0
Malt-O Meal Original,Aliments et boissons à base de végétaux,3.0,a,1552.0,1.43,0.0,0.0,2.9,14.29,0.0,-5.0
british round lettuce,Aliments et boissons à base de végétaux,0.0,a,57.0,0.5,0.1,1.3,1.3,1.2,0.0199898,-6.0
Spring Greens,Légumes frais,0.0,a,139.0,1.0,0.1,2.6,3.4,3.0,0.0,-10.0
Ritz Bits Cheese,Snacks,7.0,e,2160.0,29.0,9.68,16.1,0.0,6.45,1.31,23.0
Newtons Fruit Thins,Cookies,3.0,d,1890.0,16.1,3.23,22.6,6.45,6.45,0.737,11.0
